2022-12-19 19:18:06 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:18:08 INFO  ComputerPage :30 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (5a3f9c1bc0a7ff5f362981f013383513)] -> css selector: div[class='page-title'] h1]
2022-12-19 19:18:11 INFO  HomePage :45 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (9a529b376df1e0259da5769a18fde951)] -> link text: Log in]
2022-12-19 19:18:13 INFO  LoginPage :38 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (9a529b376df1e0259da5769a18fde951)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-12-19 19:18:16 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (f06ccd52212bbdcf3107424f86cc73a8)] -> link text: Register]
2022-12-19 19:18:18 INFO  RegisterPage :78 - Get registerText : [[ChromeDriver: chrome on WINDOWS (f06ccd52212bbdcf3107424f86cc73a8)] -> css selector: div[class='page-title'] h1]
2022-12-19 19:18:29 INFO  HomePage :86 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-19 19:18:30 INFO  ComputerPage :37 - Click on '[[[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-19 19:18:31 INFO  DesktopsPage :38 - Get pageTitle text [[ChromeDriver: chrome on WINDOWS (aadff5e0a842b5a9ae8462c30945bed4)] -> css selector: div[class='page-title'] h1]
2022-12-19 19:18:34 INFO  HomePage :45 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (24400c241296d2c7cab3bfe893e4c32d)] -> link text: Log in]
2022-12-19 19:18:35 INFO  LoginPage :43 - Enter email testerhv123@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (24400c241296d2c7cab3bfe893e4c32d)] -> id: Email]
2022-12-19 19:18:35 INFO  LoginPage :48 - Enter password password123 to password field [[ChromeDriver: chrome on WINDOWS (24400c241296d2c7cab3bfe893e4c32d)] -> name: Password]
2022-12-19 19:18:35 INFO  LoginPage :53 - Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (24400c241296d2c7cab3bfe893e4c32d)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-19 19:18:36 INFO  LoginPage :59 - Getting error message : [[ChromeDriver: chrome on WINDOWS (24400c241296d2c7cab3bfe893e4c32d)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-12-19 19:18:39 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> link text: Register]
2022-12-19 19:18:41 INFO  RegisterPage :125 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> css selector: #register-button]
2022-12-19 19:18:41 INFO  RegisterPage :134 - Click on 'REGISTER' button to see the error message[[[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (7f1f91dcf3eacc14b78f1703a12bd731)] -> class name: field-validation-error]]
2022-12-19 19:18:44 INFO  HomePage :56 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> link text: Register]
2022-12-19 19:18:45 INFO  RegisterPage :125 - Click on 'REGISTER' button[[ChromeDriver: chrome on WINDOWS (224c316fe913aeeedbfe052bbd90ecd0)] -> css selector: #register-button]
